country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,fuel1,fuel2,fuel3,fuel4,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
ECU,Ecuador,Sibimbe,WRI1018627,15,-1.5833,-79.4333,Hydro,,,,,Hidrosibimbe,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,89.25,,,,52.81287642
ECU,Ecuador,Sopladora II,WRI1022992,487,-2.5938,-78.5666,Hydro,,,,,CELEC EP,Ministerio de Electricidad y Energia Renovable,http://www.energia.gob.ec/sopladora/,http://www.energia.gob.ec/sopladora/,,2800,,,,1714.658055
IND,India,UMTRU,IND0000478,11.2,26.0069,91.8114,Hydro,,,,,,Central Electricity Authority,http://www.cea.nic.in/,http://www.cea.nic.in/,2016,,,,,17.76208909
IND,India,UNO SUGEN,IND0000480,382.5,21.3411,72.9895,Gas,,,,1992,,Central Electricity Authority,http://www.cea.nic.in/,http://www.cea.nic.in/,2016,,,834.058,,6214.364039
IND,India,UPL Dharapuram Wind Farm,WRI1026759,1.7,10.838,77.5123,Wind,,,,1996,UPL,CDM,https://cdm.unfccc.int/Projects/DB/RWTUV1351718801.6/view,https://cdm.unfccc.int/Projects/DB/RWTUV1351718801.6/view,,,,,,17.31859123
IND,India,URAN ONGC,WRI1019992,62.6,18.8681,72.9293,Gas,,,,2007,Ongc Gas corp,Ongc Gas corp,http://www.ongcindia.com/,http://www.ongcindia.com/,,,,,,1017.043631
IND,India,URUMI,IND0000488,3.75,11.3727,76.0584,Hydro,,,,1992,,Central Electricity Authority,http://www.cea.nic.in/,http://www.cea.nic.in/,2016,,,,,5.947128042
IND,India,Udumalpet Wind Farm,WRI1026066,25.7,10.6143,77.237,Wind,,,,1965,,CDM,https://cdm.unfccc.int/Projects/DB/DNV-CUK1174563974.61/view,https://cdm.unfccc.int/Projects/DB/DNV-CUK1174563974.61/view,,,,,,261.8163498
IND,India,VAIGAI DAM,IND0000492,13.5,10.0537,77.5905,Hydro,,,,,,Central Electricity Authority,http://www.cea.nic.in/,http://www.cea.nic.in/,2016,,,,,21.40966095
IND,India,VARDHAM BUDNI,WRI1020010,25.8,22.7808,77.6515,Coal,,,,,Vardham Vardham group,Vardham Vardham group,https://www.vardhman.com/,https://www.vardhman.com/,,,,,,336.8680923
IND,India,VARDHAM SATLAPUR,WRI1020011,30.75,23.0752,77.5526,Coal,,,,,Vardham Vardham group,Vardham Vardham group,https://www.vardhman.com/,https://www.vardhman.com/,,,,,,401.4997612
IND,India,VASAVADATTA CEMENT,WRI1019936,50.7,17.1605,77.293,Coal,,,,,Kesoram Industries ltd,Kesoram Industries ltd,https://www.kesocorp.com/,https://www.kesocorp.com/,,,,,,661.9849721
ITA,Italy,ENTRACQUE_CHRO,WRI1002882,1064,44.2256,7.3842,Hydro,,,,,,TERNA,http://www.terna.it/en-gb/sistemaelettrico/transparencyreport/generation/installedgenerationcapacity.aspx,http://www.terna.it/en-gb/sistemaelettrico/transparencyreport/generation/installedgenerationcapacity.aspx,,,,508.6,,4790.161519
ITA,Italy,Erika Solar Power Plant,WRI1026402,18.4,37.6892,12.7234,Solar,,,,,,Gestamp Solar,http://www.gestampsolar.com/es/negocio/proyectos-de-investigacion/erika,http://www.gestampsolar.com/es/negocio/proyectos-de-investigacion/erika,,,,,,950.9729141
ITA,Italy,FADALTO,WRI1002883,210,45.9767,12.3033,Hydro,,,,,,TERNA,http://www.terna.it/en-gb/sistemaelettrico/transparencyreport/generation/installedgenerationcapacity.aspx,http://www.terna.it/en-gb/sistemaelettrico/transparencyreport/generation/installedgenerationcapacity.aspx,,,,257,,945.4266156
ITA,Italy,FARINELLO,WRI1021364,54,43.2388,10.9047,Geothermal,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,372.7701284
ITA,Italy,FUSINA T.,WRI1002885,871,45.4314,12.2468,Coal,,,,,,ENEL,https://www.enel.it/it-it/documents/azienda/ambiente/dichiarazioni_ambientali/fusina_da2007_2008.pdf,https://www.enel.it/it-it/documents/azienda/ambiente/dichiarazioni_ambientali/fusina_da2007_2008.pdf,,,,5840.5,,4775.769476
