country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,fuel1,fuel2,fuel3,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
KEN,Kenya,Masinga,WRI1000043,40,-0.879,37.588,Hydro,,,1980,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,GEODB,,,,,127,168.619
KEN,Kenya,Ngong,WRI1061215,25.5,-1.3811,36.6356,Wind,,,1993,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=content/wind,WRI,,,,,56.7,2.888
KEN,Kenya,Olkaria I,WRI1000048,45,-0.8893,36.2557,Geothermal,,,1981,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=content/geothermal-plants,WRI,,,,,331,242.248
KEN,Kenya,Olkaria I,WRI1061218,185,-0.8933,36.3086,Geothermal,,,1981,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,WRI,,,,,357,995.908
KEN,Kenya,Olkaria I units 4 & 5,WRI1061219,140,-0.891,36.2961,Geothermal,,,2015,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=content/geothermal-plants,WRI,,,,,1055,753.66
KEN,Kenya,Olkaria II,WRI1061221,105,-0.8644,36.2985,Geothermal,,,1982,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=content/geothermal-plants,WRI,,,,,814,565.245
KEN,Kenya,Olkaria III (Orpower 4),WRI1061220,139,-0.8905,36.2892,Geothermal,,,2015,Ormat Technologies Inc,Ormat ; Kenya Power,http://www.ormat.com/en/projects/all/main/ ; http://www.kplc.co.ke/AR2016/KPLC%202016%20Annual%20Report%20Upload.pdf,WRI,,,,,1066,748.277
KEN,Kenya,Olkaria IV,WRI1061217,140,-0.9186,36.3338,Geothermal,,,2014,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=content/geothermal-plants,WRI,,,,,976,753.66
KEN,Kenya,Rabai,WRI1061214,90,-3.9334,39.5626,Oil,,,2009,Rabai Power Company,BWSC,http://www.bwsc.com/Rabai-Power-Plant--Kenya.aspx?ID=208,WRI,,,,,536,277.696
KEN,Kenya,Sondu Miru,WRI1061222,60,-0.3426,34.8521,Hydro,,,2007,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=content/hydro-power-stations,WRI,,,,,419,252.929
